Domain,Instance,DR,DR+TR+NC+LM,NC+LM,NC,LM
grid,prob02.pddl,5,17,16,4,16
grid,prob03.pddl,10,19,17,10,14
grid,prob04.pddl,7,15,13,6,13
grid,prob05.pddl,14,,38,14,33
gripper,prob01.pddl,9,9,9,8,9
gripper,prob02.pddl,13,13,13,12,13
gripper,prob03.pddl,17,17,17,16,17
gripper,prob04.pddl,21,21,21,20,21
gripper,prob05.pddl,25,25,25,24,25
gripper,prob06.pddl,29,29,29,28,29
gripper,prob07.pddl,33,33,33,32,33
gripper,prob08.pddl,37,37,37,36,37
gripper,prob09.pddl,41,41,41,40,41
gripper,prob10.pddl,45,45,45,44,45
gripper,prob11.pddl,49,49,49,48,49
gripper,prob12.pddl,53,53,53,52,53
gripper,prob13.pddl,57,57,57,56,57
gripper,prob14.pddl,61,61,61,60,61
gripper,prob15.pddl,65,65,65,64,65
gripper,prob16.pddl,69,69,69,68,69
gripper,prob17.pddl,73,73,73,72,73
gripper,prob18.pddl,77,77,77,76,77
gripper,prob19.pddl,81,81,81,80,81
gripper,prob20.pddl,85,85,85,84,85
logistics00,probLOGISTICS-10-0.pddl,19,41,41,34,41
logistics00,probLOGISTICS-10-1.pddl,20,39,39,32,39
logistics00,probLOGISTICS-11-0.pddl,19,45,45,38,45
logistics00,probLOGISTICS-11-1.pddl,23,55,55,48,55
logistics00,probLOGISTICS-12-0.pddl,19,39,39,32,39
logistics00,probLOGISTICS-12-1.pddl,28,63,63,56,63
logistics00,probLOGISTICS-13-0.pddl,28,67,67,58,67
logistics00,probLOGISTICS-13-1.pddl,22,57,56,48,56
logistics00,probLOGISTICS-14-0.pddl,27,55,55,46,55
logistics00,probLOGISTICS-14-1.pddl,28,67,67,58,67
logistics00,probLOGISTICS-15-0.pddl,32,71,71,62,71
logistics00,probLOGISTICS-15-1.pddl,29,63,62,54,62
logistics00,probLOGISTICS-4-0.pddl,10,19,19,16,19
logistics00,probLOGISTICS-4-1.pddl,10,17,17,14,17
logistics00,probLOGISTICS-4-2.pddl,5,13,13,10,13
logistics00,probLOGISTICS-5-0.pddl,12,25,25,22,25
logistics00,probLOGISTICS-5-1.pddl,10,15,15,12,15
logistics00,probLOGISTICS-5-2.pddl,8,8,8,6,8
logistics00,probLOGISTICS-6-0.pddl,12,23,23,20,23
logistics00,probLOGISTICS-6-1.pddl,8,13,13,10,13
logistics00,probLOGISTICS-6-2.pddl,12,23,23,20,23
logistics00,probLOGISTICS-6-9.pddl,10,21,21,18,21
logistics00,probLOGISTICS-7-0.pddl,15,33,33,28,33
logistics00,probLOGISTICS-7-1.pddl,16,39,39,34,39
logistics00,probLOGISTICS-8-0.pddl,15,29,29,24,29
logistics00,probLOGISTICS-8-1.pddl,19,41,41,36,41
logistics00,probLOGISTICS-9-0.pddl,15,33,33,28,33
logistics00,probLOGISTICS-9-1.pddl,15,29,29,24,29
logistics98,prob01.pddl,14,24,24,18,24
logistics98,prob02.pddl,13,28,28,18,28
logistics98,prob03.pddl,18,50,50,30,50
logistics98,prob04.pddl,17,53,53,34,53
logistics98,prob05.pddl,12,22,22,14,22
logistics98,prob06.pddl,26,65,63,40,63
logistics98,prob07.pddl,14,29,29,20,29
logistics98,prob08.pddl,16,37,36,24,36
logistics98,prob09.pddl,29,75,73,50,73
logistics98,prob10.pddl,36,93,92,64,92
logistics98,prob11.pddl,11,27,27,20,27
logistics98,prob12.pddl,13,37,37,24,37
logistics98,prob13.pddl,23,65,65,38,65
logistics98,prob14.pddl,37,80,79,64,79
logistics98,prob15.pddl,31,82,81,66,81
logistics98,prob16.pddl,16,52,50,40,50
logistics98,prob17.pddl,12,42,40,32,40
logistics98,prob18.pddl,50,152,148,100,148
logistics98,prob19.pddl,49,130,125,96,125
logistics98,prob20.pddl,43,128,126,84,126
logistics98,prob21.pddl,31,95,92,60,92
logistics98,prob22.pddl,86,252,244,184,244
logistics98,prob23.pddl,42,99,97,84,97
logistics98,prob24.pddl,10,39,38,24,38
logistics98,prob25.pddl,,,172,106,172
logistics98,prob26.pddl,72,175,175,118,175
logistics98,prob27.pddl,50,135,131,86,131
logistics98,prob28.pddl,,,,,
logistics98,prob29.pddl,102,274,270,206,270
logistics98,prob30.pddl,,,122,78,122
logistics98,prob31.pddl,8,12,12,8,12
logistics98,prob32.pddl,7,18,18,14,18
logistics98,prob33.pddl,16,25,25,20,25
logistics98,prob34.pddl,16,42,40,30,40
logistics98,prob35.pddl,14,29,29,18,29
miconic,s10-0.pddl,33,33,33,20,33
miconic,s10-1.pddl,32,32,32,20,32
miconic,s10-2.pddl,31,31,31,20,31
miconic,s10-3.pddl,34,34,34,20,34
miconic,s10-4.pddl,32,32,32,20,32
miconic,s1-0.pddl,3,3,3,2,3
miconic,s11-0.pddl,36,36,36,22,36
miconic,s11-1.pddl,34,34,34,22,34
miconic,s11-2.pddl,37,37,37,22,37
miconic,s11-3.pddl,37,37,37,22,37
miconic,s11-4.pddl,34,34,34,22,34
miconic,s1-1.pddl,3,3,3,2,3
miconic,s12-0.pddl,40,40,40,24,40
miconic,s12-1.pddl,40,40,40,24,40
miconic,s12-2.pddl,39,39,39,24,39
miconic,s12-3.pddl,38,38,38,24,38
miconic,s12-4.pddl,41,41,41,24,41
miconic,s1-2.pddl,3,3,3,2,3
miconic,s13-0.pddl,43,43,43,26,43
miconic,s13-1.pddl,41,41,41,26,41
miconic,s13-2.pddl,46,46,46,26,46
miconic,s13-3.pddl,43,43,43,26,43
miconic,s13-4.pddl,41,41,41,26,41
miconic,s1-3.pddl,3,3,3,2,3
miconic,s14-0.pddl,45,45,45,28,45
miconic,s14-1.pddl,47,47,47,28,47
miconic,s14-2.pddl,49,49,49,28,49
miconic,s14-3.pddl,42,42,42,28,42
miconic,s14-4.pddl,45,45,45,28,45
miconic,s1-4.pddl,3,3,3,2,3
miconic,s15-0.pddl,46,46,46,30,46
miconic,s15-1.pddl,49,49,49,30,49
miconic,s15-2.pddl,49,49,49,30,49
miconic,s15-3.pddl,50,50,50,30,50
miconic,s15-4.pddl,46,46,46,30,46
miconic,s16-0.pddl,53,53,53,32,53
miconic,s16-1.pddl,52,52,52,32,52
miconic,s16-2.pddl,54,54,54,32,54
miconic,s16-3.pddl,51,51,51,32,51
miconic,s16-4.pddl,53,53,53,32,53
miconic,s17-0.pddl,55,55,55,34,55
miconic,s17-1.pddl,54,54,54,34,54
miconic,s17-2.pddl,54,54,54,34,54
miconic,s17-3.pddl,59,59,59,34,59
miconic,s17-4.pddl,54,54,54,34,54
miconic,s18-0.pddl,59,59,59,36,59
miconic,s18-1.pddl,58,58,58,36,58
miconic,s18-2.pddl,58,58,58,36,58
miconic,s18-3.pddl,59,59,59,36,59
miconic,s18-4.pddl,56,56,56,36,56
miconic,s19-0.pddl,62,62,62,38,62
miconic,s19-1.pddl,65,65,65,38,65
miconic,s19-2.pddl,61,61,61,38,61
miconic,s19-3.pddl,63,63,63,38,63
miconic,s19-4.pddl,62,62,62,38,62
miconic,s20-0.pddl,63,63,63,40,63
miconic,s20-1.pddl,66,66,66,40,66
miconic,s20-2.pddl,62,62,62,40,62
miconic,s20-3.pddl,63,63,63,40,63
miconic,s20-4.pddl,64,64,64,40,64
miconic,s2-0.pddl,7,7,7,4,7
miconic,s21-0.pddl,69,69,69,42,69
miconic,s21-1.pddl,69,69,69,42,69
miconic,s21-2.pddl,69,69,69,42,69
miconic,s21-3.pddl,66,66,66,42,66
miconic,s21-4.pddl,70,70,70,42,70
miconic,s2-1.pddl,6,6,6,4,6
miconic,s22-0.pddl,72,72,72,44,72
miconic,s22-1.pddl,70,70,70,44,70
miconic,s22-2.pddl,71,71,71,44,71
miconic,s22-3.pddl,75,75,75,44,75
miconic,s22-4.pddl,71,71,71,44,71
miconic,s2-2.pddl,6,6,6,4,6
miconic,s23-0.pddl,75,75,75,46,75
miconic,s23-1.pddl,74,74,74,46,74
miconic,s23-2.pddl,73,73,73,46,73
miconic,s23-3.pddl,71,71,71,46,71
miconic,s23-4.pddl,74,74,74,46,74
miconic,s2-3.pddl,7,7,7,4,7
miconic,s24-0.pddl,79,79,79,48,79
miconic,s24-1.pddl,78,78,78,48,78
miconic,s24-2.pddl,77,77,77,48,77
miconic,s24-3.pddl,79,79,79,48,79
miconic,s24-4.pddl,77,77,77,48,77
miconic,s2-4.pddl,6,6,6,4,6
miconic,s25-0.pddl,81,81,81,50,81
miconic,s25-1.pddl,85,85,85,50,85
miconic,s25-2.pddl,78,78,78,50,78
miconic,s25-3.pddl,84,84,84,50,84
miconic,s25-4.pddl,82,82,82,50,82
miconic,s26-0.pddl,83,83,83,52,83
miconic,s26-1.pddl,83,83,83,52,83
miconic,s26-2.pddl,90,90,90,52,90
miconic,s26-3.pddl,88,88,88,52,88
miconic,s26-4.pddl,82,82,82,52,82
miconic,s27-0.pddl,87,87,87,54,87
miconic,s27-1.pddl,91,91,91,54,91
miconic,s27-2.pddl,87,87,87,54,87
miconic,s27-3.pddl,89,89,89,54,89
miconic,s27-4.pddl,88,88,88,54,88
miconic,s28-0.pddl,94,94,94,56,94
miconic,s28-1.pddl,92,92,92,56,92
miconic,s28-2.pddl,93,93,93,56,93
miconic,s28-3.pddl,87,87,87,56,87
miconic,s28-4.pddl,92,92,92,56,92
miconic,s29-0.pddl,94,94,94,58,94
miconic,s29-1.pddl,91,91,91,58,91
miconic,s29-2.pddl,95,95,95,58,95
miconic,s29-3.pddl,96,96,96,58,96
miconic,s29-4.pddl,99,99,99,58,99
miconic,s30-0.pddl,95,95,95,60,95
miconic,s30-1.pddl,98,98,98,60,98
miconic,s30-2.pddl,96,96,96,60,96
miconic,s30-3.pddl,100,100,100,60,100
miconic,s30-4.pddl,99,99,99,60,99
miconic,s3-0.pddl,10,10,10,6,10
miconic,s3-1.pddl,10,10,10,6,10
miconic,s3-2.pddl,9,9,9,6,9
miconic,s3-3.pddl,9,9,9,6,9
miconic,s3-4.pddl,9,9,9,6,9
miconic,s4-0.pddl,14,14,14,8,14
miconic,s4-1.pddl,13,13,13,8,13
miconic,s4-2.pddl,14,14,14,8,14
miconic,s4-3.pddl,14,14,14,8,14
miconic,s4-4.pddl,15,15,15,8,15
miconic,s5-0.pddl,17,17,17,10,17
miconic,s5-1.pddl,16,16,16,10,16
miconic,s5-2.pddl,14,14,14,10,14
miconic,s5-3.pddl,17,17,17,10,17
miconic,s5-4.pddl,17,17,17,10,17
miconic,s6-0.pddl,18,18,18,12,18
miconic,s6-1.pddl,19,19,19,12,19
miconic,s6-2.pddl,19,19,19,12,19
miconic,s6-3.pddl,18,18,18,12,18
miconic,s6-4.pddl,20,20,20,12,20
miconic,s7-0.pddl,23,23,23,14,23
miconic,s7-1.pddl,24,24,24,14,24
miconic,s7-2.pddl,22,22,22,14,22
miconic,s7-3.pddl,22,22,22,14,22
miconic,s7-4.pddl,25,25,25,14,25
miconic,s8-0.pddl,27,27,27,16,27
miconic,s8-1.pddl,26,26,26,16,26
miconic,s8-2.pddl,25,25,25,16,25
miconic,s8-3.pddl,27,27,27,16,27
miconic,s8-4.pddl,26,26,26,16,26
miconic,s9-0.pddl,30,30,30,18,30
miconic,s9-1.pddl,29,29,29,18,29
miconic,s9-2.pddl,29,29,29,18,29
miconic,s9-3.pddl,31,31,31,18,31
miconic,s9-4.pddl,27,27,27,18,27
mprime,prob01.pddl,2,5,5,2,5
mprime,prob02.pddl,3,5,4,4,4
mprime,prob03.pddl,3,4,3,2,3
mprime,prob04.pddl,4,7,6,2,6
mprime,prob05.pddl,4,7,6,4,6
mprime,prob06.pddl,3,7,6,4,6
mprime,prob07.pddl,4,5,5,2,5
mprime,prob08.pddl,2,5,4,2,4
